"","type","stratcat","group","est","slope","pval","std_err_slope","tval","adj_r2","sig","sigpos","signeg"
"p1.13","YEAR","GBstrat","Squid_BT","-70.0574452420074",0.0379806092285544,0.485845737817453,"0.0539647913737977","0.703803503389355",-0.013109655268867,0,0,0
"p1.14","YEAR","GBstrat","Northern_shrimp","-0.0163812471427148",8.24844784918425e-06,0.221860277041513,"5.91353564719779e-06","1.39484199323173",0.136141778826524,0,0,0
"p1.15","YEAR","GBstrat","Shrimp_BT","0.170893983880597",-8.44976464749922e-05,0.34193507562507,"8.64255142232892e-05","-0.977693303122082",-0.00245689961859918,0,0,0
"p1.16","YEAR","GOMstrat","","-494387.039308715",254.723746040003,0.204171415981654,"197.159815652933","1.29196583592065",0.0168689091472287,0,0,0
"p1.17","YEAR","GOMstrat","euphausiid","34872.0616176214",-17.1305704824525,0.210991444336595,"13.4640825202454","-1.27231621290897",0.0156185630188651,0,0,0
"p1.18","YEAR","GOMstrat","lg_zoop","-124834.494724701",63.4869586277138,0.0522348991098209,"31.679909868565","2.00401323397419",0.0717837034905102,0,0,0
"p1.19","YEAR","GOMstrat","shrimp","6086.32781044405",-2.95102691444414,0.462690665499296,"3.97749674815712","-0.741930691913559",-0.0116610498284004,0,0,0
"p1.20","YEAR","GOMstrat","sm_zoop","-195991.277181575",181.65103234402,0.90378019423682,"1492.64874479816","0.121697105884468",-0.0259159472218813,0,0,0
"p1.21","YEAR","GOMstrat","Clupeid","-431.111947111042",0.218904794669494,0.00418176823707246,"0.0718266386475472","3.04768257002334",0.175272888757843,1,1,0
"p1.22","YEAR","GOMstrat","Flatfish","62.8688844168191",-0.0301542982038144,0.0263415375592863,"0.0130470197657841","-2.31120200207669",0.100172795086292,1,0,1
"p1.23","YEAR","GOMstrat","Large_Gadid","-867.920076600065",0.448379647951438,0.112517970445545,"0.275996344218485","1.62458546043817",0.0403372796525558,0,0,0
"p1.24","YEAR","GOMstrat","Meso_pelagic","-0.0139824591286315",7.27153850928405e-06,0.528052769726511,"1.1415454790913e-05","0.636990697477279",-0.0158864008276998,0,0,0
"p1.25","YEAR","GOMstrat","Misc_Fish","-2519.25930632951",1.27395906968682,1.08779838451947e-08,"0.175410518802431","7.26272904489674",0.570234831040855,1,1,0
"p1.26","YEAR","GOMstrat","Sandlance","19.0626878291575",-0.00948678640017191,0.170515004832572,"0.00669539956732015","-1.41691116486555",0.0419715292539905,0,0,0
"p1.27","YEAR","GOMstrat","Scombrid","-76.7000452662134",0.0386977305566187,0.00374517526894969,"0.0125279143989762","3.08892041597771",0.179662863643274,1,1,0
"p1.28","YEAR","GOMstrat","Small_Gadid","-353.811089772738",0.187438266185082,0.0646022219268768,"0.0984827807269206","1.90325927843998",0.0630044432921985,0,0,0
